obf,disccount,nodekindcode,lowerbound,upperbound
--------------------O-X---XXOX-----XO-------O-------O----------- X;,10,16,-12,36
-------------X---X--X----OXOO------OO-----O--------------------- X;,10,16,10,36
------------------X-X-----OXOO-----OO-------O------------------- X;,9,16,-16,36
------------O-----XXO------OO------OOO-------------------------- X;,9,16,-16,36
------------OX-----OO----OOXO------XO--------------------------- X;,10,16,-10,36
----------O--X-----OX----OOXO------XO--------------------------- X;,10,16,-10,36
------------------OX--X----OOX-----XO-------O-------O----------- X;,10,16,2,36
-----------------X--X-----XOOO-----OO------O-------O------------ X;,10,16,0,36
--------------O-----XOX----XOO-----OOO-------------------------- X;,10,8,-36,20
----------O--------OOOO----XX------XO--------------------------- X;,9,16,2,36
---------------------X-----XX----OOXO------OO-----O------------- X;,10,16,-14,36
------------------X-------OOOOO----OO-------O------------------- X;,9,16,-20,36
-----------------X--X-----XOX------OO------O-O-----O------------ X;,10,16,2,36
---------------------XX---OOOX----XOX------O-------------------- X;,10,8,-36,-2
------------OX------X------XO------OOO----O------O-------------- X;,10,16,0,36
-------------X------X-----XXO-----OOO--------------------------- X;,8,16,-10,36
-------------------X-X----OXOO----XXO------O-------------------- X;,10,8,-36,-2
-------------------X--X----XOOO----XO-------O-------O----------- X;,10,16,-14,36
-------------X------X----OOXO-----OOO-----O--------------------- X;,10,16,-14,36
--------------------XX----OOXO----XOO------O-------------------- X;,10,8,-36,-2
----------X-------XX-------XOOO----OOO-------------------------- X;,10,4,-22,-22
-------------X------XX---OOOOO-----XO--------------------------- X;,10,16,-22,36
-------------------OX----XXOO------OOO-------------------------- X;,9,2,6,6
------------------X--------XX------XOOO--OOO-------------------- X;,10,16,-20,36
---------O---X---O--X----OXOO------XO--------------------------- X;,10,4,-24,-24
-------------X------X----OOOO------XO--------------------------- X;,8,4,-10,-10
------------------X-O------OO-----OOOO--------O----------------- X;,9,8,-36,-22
-------------X------X-----XXO------OO-----O--------------------- X;,8,16,22,36
